"name" "mle" "cilow" "cihigh"
"wmis" "wmis" 1.02916360207148 0.960607567581744 1.10261230035398
"wnon" "wnon" 4.21403673986277e-09 0 Inf
"wspl" "wspl" 0.0257813605644888 0.00827922460013243 0.0802827057675844
"wtru" "wtru" 0.0121286221726693 0.00390078422479528 0.0377112568473552
"wall" "wall" 0.963397758529584 0.89947289913095 1.0318657093911

theta = 0.151
