"name" "mle" "cilow" "cihigh"
"wmis" "wmis" 0.960588146394449 0.853217550168456 1.08147047234476
"wnon" "wnon" 4.07045417125947e-09 0 Inf
"wspl" "wspl" 0.0428665820404545 0.0106217531073898 0.172998170570599
"wtru" "wtru" 0.0194594934888955 0.00483752362086828 0.0782780439997932
"wall" "wall" 0.888495690374391 0.789680607888609 0.999675797946429

theta = 0.0122
